fid;left;top;right;bottom;left;top;right;bottom;Final count;Final average;;;;;;;;;;;;;;;;
117;747000;1051000;746000;1052000;456390,6182;5545716,375;457382,0367;5544725,011;0;0;0;;;;;;;;;;;;;;;
118;747000;1052000;746000;1053000;456390,6182;5544725,011;457382,0367;5543733,647;0;0;0;;;;;;;;;;;;;;;
119;747000;1053000;746000;1054000;456390,6182;5543733,647;457382,0367;5542742,283;0;0;0;;;;;;;;;;;;;;;
120;;10;;;;;;;0;0;0;;;;;;;;;;;;;;;
121;746000;1036000;745000;1037000;457382,0367;5560586,834;458373,4552;5559595,47;0;0;0;;;;;;;;;;;;;;;
122;746000;1037000;745000;1038000;457382,0367;5559595,47;458373,4552;5558604,107;14600;14600;14 600;;;;;;;;;;;;;;;
123;746000;1038000;745000;1039000;457382,0367;5558604,107;458373,4552;5557612,743;0;0;0;;;;;;;;;;;;;;;
124;746000;1039000;745000;1040000;457382,0367;5557612,743;458373,4552;5556621,379;0;0;0;;;;;;;;;;;;;;;
125;746000;1040000;745000;1041000;457382,0367;5556621,379;458373,4552;5555630,015;0;0;0;;;;;;;;;;;;;;;
126;746000;1041000;745000;1042000;457382,0367;5555630,015;458373,4552;5554638,651;165600;55200;36 000;32 400;97 200;;;;;;;;;;;;;
127;746000;1042000;745000;1043000;457382,0367;5554638,651;458373,4552;5553647,287;151500;21643;31 100;26 300;35 000;5 700;16 700;17 600;19 100;;;;;;;;;
128;746000;1043000;745000;1044000;457382,0367;5553647,287;458373,4552;5552655,923;17500;8750;10 200;7 300;;;;;;;;;;;;;;
129;746000;1044000;745000;1045000;457382,0367;5552655,923;458373,4552;5551664,559;113200;18867;19 800;11 100;4 500;21 000;20 100;36 700;;;;;;;;;;
130;746000;1045000;745000;1046000;457382,0367;5551664,559;458373,4552;5550673,195;149300;74650;103 000;46 300;;;;;;;;;;;;;;
131;746000;1046000;745000;1047000;457382,0367;5550673,195;458373,4552;5549681,831;0;0;0;;;;;;;;;;;;;;;
132;746000;1047000;745000;1048000;457382,0367;5549681,831;458373,4552;5548690,467;0;0;0;;;;;;;;;;;;;;;
133;746000;1048000;745000;1049000;457382,0367;5548690,467;458373,4552;5547699,103;74400;37200;20 500;53 900;;;;;;;;;;;;;;
134;746000;1049000;745000;1050000;457382,0367;5547699,103;458373,4552;5546707,739;0;0;0;;;;;;;;;;;;;;;
135;746000;1050000;745000;1051000;457382,0367;5546707,739;458373,4552;5545716,375;39900;19950;5 700;34 200;;;;;;;;;;;;;;
136;746000;1051000;745000;1052000;457382,0367;5545716,375;458373,4552;5544725,011;226000;113000;194 400;31 600;;;;;;;;;;;;;;
137;746000;1052000;745000;1053000;457382,0367;5544725,011;458373,4552;5543733,647;75600;37800;19 000;56 600;;;;;;;;;;;;;;
138;746000;1053000;745000;1054000;457382,0367;5543733,647;458373,4552;5542742,283;24300;24300;24 300;;;;;;;;;;;;;;;
139;;11;;;;;;;0;0;0;;;;;;;;;;;;;;;
140;745000;1036000;744000;1037000;458373,4552;5560586,834;459364,8737;5559595,47;0;0;0;;;;;;;;;;;;;;;
141;745000;1037000;744000;1038000;458373,4552;5559595,47;459364,8737;5558604,107;26200;26200;26 200;;;;;;;;;;;;;;;
142;745000;1038000;744000;1039000;458373,4552;5558604,107;459364,8737;5557612,743;0;0;0;;;;;;;;;;;;;;;
143;745000;1039000;744000;1040000;458373,4552;5557612,743;459364,8737;5556621,379;31700;15850;20 700;11 000;;;;;;;;;;;;;;
144;745000;1040000;744000;1041000;458373,4552;5556621,379;459364,8737;5555630,015;76000;25333;18 000;15 100;42 900;;;;;;;;;;;;;
145;745000;1041000;744000;1042000;458373,4552;5555630,015;459364,8737;5554638,651;259800;37114;18 600;21 600;97 200;105 100;1 500;800;15 000;;;;;;;;;
146;745000;1042000;744000;1043000;458373,4552;5554638,651;459364,8737;5553647,287;50600;16867;15 100;24 000;11 500;;;;;;;;;;;;;
147;745000;1043000;744000;1044000;458373,4552;5553647,287;459364,8737;5552655,923;26600;8867;11 500;10 300;4 800;;;;;;;;;;;;;
148;745000;1044000;744000;1045000;458373,4552;5552655,923;459364,8737;5551664,559;503400;41950;8 200;29 800;39 300;9 700;57 300;36 100;30 700;89 200;27 000;28 500;131 600;;;;;16 000
149;745000;1045000;744000;1046000;458373,4552;5551664,559;459364,8737;5550673,195;502000;62750;17 800;84 500;79 200;34 500;94 000;129 600;36 300;26 100;;;;;;;;
150;745000;1046000;744000;1047000;458373,4552;5550673,195;459364,8737;5549681,831;6800;6800;6 800;;;;;;;;;;;;;;;
151;745000;1047000;744000;1048000;458373,4552;5549681,831;459364,8737;5548690,467;54400;27200;28 000;26 400;;;;;;;;;;;;;;
152;745000;1048000;744000;1049000;458373,4552;5548690,467;459364,8737;5547699,103;270500;45083;35 600;142 300;10 900;38 300;30 100;13 300;;;;;;;;;;
153;745000;1049000;744000;1050000;458373,4552;5547699,103;459364,8737;5546707,739;88800;44400;49 200;39 600;;;;;;;;;;;;;;
154;745000;1050000;744000;1051000;458373,4552;5546707,739;459364,8737;5545716,375;0;0;0;;;;;;;;;;;;;;;
155;745000;1051000;744000;1052000;458373,4552;5545716,375;459364,8737;5544725,011;16400;16400;16 400;;;;;;;;;;;;;;;
156;745000;1052000;744000;1053000;458373,4552;5544725,011;459364,8737;5543733,647;264900;132450;111 900;153 000;;;;;;;;;;;;;;
157;745000;1053000;744000;1054000;458373,4552;5543733,647;459364,8737;5542742,283;0;0;0;;;;;;;;;;;;;;;
158;;12;;;;;;;0;0;0;;;;;;;;;;;;;;;
159;744000;1036000;743000;1037000;459364,8737;5560586,834;460356,2922;5559595,47;6400;6400;6 400;;;;;;;;;;;;;;;
160;744000;1037000;743000;1038000;459364,8737;5559595,47;460356,2922;5558604,107;0;0;0;;;;;;;;;;;;;;;
161;744000;1038000;743000;1039000;459364,8737;5558604,107;460356,2922;5557612,743;26900;26900;26 900;;;;;;;;;;;;;;;
162;744000;1039000;743000;1040000;459364,8737;5557612,743;460356,2922;5556621,379;17700;17700;17 700;;;;;;;;;;;;;;;
163;744000;1040000;743000;1041000;459364,8737;5556621,379;460356,2922;5555630,015;30800;30800;30 800;;;;;;;;;;;;;;;
164;744000;1041000;743000;1042000;459364,8737;5555630,015;460356,2922;5554638,651;52200;17400;10 500;22 900;18 800;;;;;;;;;;;;;
165;744000;1042000;743000;1043000;459364,8737;5554638,651;460356,2922;5553647,287;152300;30460;19 900;18 900;75 300;24 700;13 500;;;;;;;;;;;
166;744000;1043000;743000;1044000;459364,8737;5553647,287;460356,2922;5552655,923;206600;22956;18 500;21 900;12 800;9 600;17 000;21 000;40 400;51 200;14 200;;;;;;;
167;744000;1044000;743000;1045000;459364,8737;5552655,923;460356,2922;5551664,559;80700;16140;14 500;10 700;20 500;19 000;16 000;;;;;;;;;;;
168;744000;1045000;743000;1046000;459364,8737;5551664,559;460356,2922;5550673,195;401600;25100;16 500;21 700;6 600;11 500;35 300;9 900;22 600;49 200;36 300;11 400;36 100;35 700;24 100;16 400;23 300;45 000
169;744000;1046000;743000;1047000;459364,8737;5550673,195;460356,2922;5549681,831;220400;24489;23 500;24 000;9 900;15 400;8 000;17 600;29 900;59 800;32 300;;;;;;;
170;744000;1047000;743000;1048000;459364,8737;5549681,831;460356,2922;5548690,467;22000;22000;22 000;;;;;;;;;;;;;;;
171;744000;1048000;743000;1049000;459364,8737;5548690,467;460356,2922;5547699,103;23000;23000;23 000;;;;;;;;;;;;;;;
172;744000;1049000;743000;1050000;459364,8737;5547699,103;460356,2922;5546707,739;0;0;0;;;;;;;;;;;;;;;
173;744000;1050000;743000;1051000;459364,8737;5546707,739;460356,2922;5545716,375;10400;10400;10 400;;;;;;;;;;;;;;;
174;744000;1051000;743000;1052000;459364,8737;5545716,375;460356,2922;5544725,011;0;0;0;;;;;;;;;;;;;;;
175;744000;1052000;743000;1053000;459364,8737;5544725,011;460356,2922;5543733,647;0;0;0;;;;;;;;;;;;;;;
176;744000;1053000;743000;1054000;459364,8737;5543733,647;460356,2922;5542742,283;0;0;0;;;;;;;;;;;;;;;
177;;13;;;;;;;0;0;0;;;;;;;;;;;;;;;
178;743000;1036000;742000;1037000;460356,2922;5560586,834;461347,7107;5559595,47;0;0;0;;;;;;;;;;;;;;;
179;743000;1037000;742000;1038000;460356,2922;5559595,47;461347,7107;5558604,107;0;0;0;;;;;;;;;;;;;;;
180;743000;1038000;742000;1039000;460356,2922;5558604,107;461347,7107;5557612,743;12900;12900;12 900;;;;;;;;;;;;;;;
181;743000;1039000;742000;1040000;460356,2922;5557612,743;461347,7107;5556621,379;0;0;0;;;;;;;;;;;;;;;
