fid;left;top;right;bottom;car_count_average;Area_of_cell;mixed_use_area_per_cell;final_average;;;;;;;;;;;;;;;;
111;456390.6182;5544725.011;457382.0367;5543733.647;0;1000000;916400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;456390.6182;5543733.647;457382.0367;5542742.283;0;1000000;965600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;456390.6182;5560586.834;457382.0367;5559595.47;0;1000000;812500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;456390.6182;5559595.47;457382.0367;5558604.107;14600;1000000;805700;14600;14600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;456390.6182;5558604.107;457382.0367;5557612.743;0;1000000;780700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;456390.6182;5557612.743;457382.0367;5556621.379;0;1000000;755900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;456390.6182;5556621.379;457382.0367;5555630.015;0;1000000;857600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;456390.6182;5555630.015;457382.0367;5554638.651;55200;1000000;978700;55200;36000;32400;97200;0;0;0;0;0;0;0;0;0;0;0;0;0
119;456390.6182;5554638.651;457382.0367;5553647.287;21642,85714;1000000;831100;21642,85714;31100;26300;35000;5700;16700;17600;19100;0;0;0;0;0;0;0;0;0
120;456390.6182;5553647.287;457382.0367;5552655.923;8750;1000000;892100;8750;10200;7300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;456390.6182;5552655.923;457382.0367;5551664.559;18866,66667;1000000;844100;18866,66667;19800;11100;4500;21000;20100;36700;0;0;0;0;0;0;0;0;0;0
122;456390.6182;5551664.559;457382.0367;5550673.195;74650;1000000;757000;74650;103000;46300;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;456390.6182;5550673.195;457382.0367;5549681.831;0;1000000;906800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;456390.6182;5549681.831;457382.0367;5548690.467;0;1000000;752500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;456390.6182;5548690.467;457382.0367;5547699.103;37200;1000000;967600;37200;20500;53900;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;456390.6182;5547699.103;457382.0367;5546707.739;0;1000000;916600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;456390.6182;5546707.739;457382.0367;5545716.375;19950;1000000;883700;19950;5700;34200;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;456390.6182;5545716.375;457382.0367;5544725.011;113000;1000000;901200;113000;194400;31600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;456390.6182;5544725.011;457382.0367;5543733.647;37800;1000000;792900;37800;19000;56600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;456390.6182;5543733.647;457382.0367;5542742.283;24300;1000000;712300;24300;24300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;457382.0367;5560586.834;458373.4552;5559595.47;0;1000000;706600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;457382.0367;5559595.47;458373.4552;5558604.107;26200;1000000;816600;26200;26200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;457382.0367;5558604.107;458373.4552;5557612.743;0;1000000;766700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;457382.0367;5557612.743;458373.4552;5556621.379;15850;1000000;738600;15850;20700;11000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;457382.0367;5556621.379;458373.4552;5555630.015;25333,33333;1000000;858500;25333,33333;18000;15100;42900;0;0;0;0;0;0;0;0;0;0;0;0;0
136;457382.0367;5555630.015;458373.4552;5554638.651;37114,28571;1000000;968000;37114,28571;18600;21600;97200;105100;1500;800;15000;0;0;0;0;0;0;0;0;0
137;457382.0367;5554638.651;458373.4552;5553647.287;16866,66667;1000000;941500;16866,66667;15100;24000;11500;0;0;0;0;0;0;0;0;0;0;0;0;0
138;457382.0367;5553647.287;458373.4552;5552655.923;8866,666667;1000000;726800;8866,666667;11500;10300;4800;0;0;0;0;0;0;0;0;0;0;0;0;0
139;457382.0367;5552655.923;458373.4552;5551664.559;41950;1000000;800500;41950;8200;29800;39300;9700;57300;36100;30700;89200;27000;28500;131600;16000;0;0;0;0
140;457382.0367;5551664.559;458373.4552;5550673.195;62750;1000000;959400;62750;17800;84500;79200;34500;94000;129600;36300;26100;0;0;0;0;0;0;0;0
141;457382.0367;5550673.195;458373.4552;5549681.831;6800;1000000;934400;6800;6800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;457382.0367;5549681.831;458373.4552;5548690.467;27200;1000000;779000;27200;28000;26400;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;457382.0367;5548690.467;458373.4552;5547699.103;45083,33333;1000000;927400;45083,33333;35600;142300;10900;38300;30100;13300;0;0;0;0;0;0;0;0;0;0
144;457382.0367;5547699.103;458373.4552;5546707.739;44400;1000000;780700;44400;49200;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;457382.0367;5546707.739;458373.4552;5545716.375;0;1000000;980300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;457382.0367;5545716.375;458373.4552;5544725.011;16400;1000000;855500;16400;16400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;457382.0367;5544725.011;458373.4552;5543733.647;132450;1000000;919000;132450;111900;153000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;457382.0367;5543733.647;458373.4552;5542742.283;0;1000000;921400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;458373.4552;5560586.834;459364.8737;5559595.47;6400;1000000;997900;6400;6400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;458373.4552;5559595.47;459364.8737;5558604.107;0;1000000;855600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;458373.4552;5558604.107;459364.8737;5557612.743;26900;1000000;735800;26900;26900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;458373.4552;5557612.743;459364.8737;5556621.379;17700;1000000;921400;17700;17700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;458373.4552;5556621.379;459364.8737;5555630.015;30800;1000000;766200;30800;30800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;458373.4552;5555630.015;459364.8737;5554638.651;17400;1000000;707800;17400;10500;22900;18800;0;0;0;0;0;0;0;0;0;0;0;0;0
155;458373.4552;5554638.651;459364.8737;5553647.287;30460;1000000;910700;30460;19900;18900;75300;24700;13500;0;0;0;0;0;0;0;0;0;0;0
156;458373.4552;5553647.287;459364.8737;5552655.923;22955,55556;1000000;714500;22955,55556;18500;21900;12800;9600;17000;21000;40400;51200;14200;0;0;0;0;0;0;0
157;458373.4552;5552655.923;459364.8737;5551664.559;16140;1000000;912400;16140;14500;10700;20500;19000;16000;0;0;0;0;0;0;0;0;0;0;0
158;458373.4552;5551664.559;459364.8737;5550673.195;25100;1000000;714500;25100;16500;21700;6600;11500;35300;9900;22600;49200;36300;11400;36100;35700;24100;16400;23300;45000
